1,9.93,Dra. Ana Carolina Oliveira,79470453,Nubank,Maysa da Cruz,67162333,Itau,cpf,8439752610,2022-02-18T13:28:00.000-03:00
2,15.38,Ana Caldeira,19689668,Itau,Evelyn Sales,60005091,Bradesco,cpf,27145380617,2022-04-08T01:47:00.000-03:00
3,57.58,Arthur Goncalves,18856899,Bradesco,Maria Melo,13496303,BTG,cpf,16452937006,2022-07-14T03:18:00.000-03:00
4,53705.13,Ana Julia Caldeira,22834741,Itau,Ana Livia Almeida,44695116,Nubank,cpf,26590384142,2022-01-15T18:06:00.000-03:00
5,25299.69,Srta. Nicole Pinto,3715882,Nubank,Srta. Ana Laura da Rocha,21409465,Nubank,cpf,73486105280,2022-05-13T11:04:00.000-03:00
6,7165.06,Gabriela Ferreira,2243037,Nubank,Larissa Souza,10689552,Itau,cpf,96845371237,2022-09-11T13:38:00.000-03:00
10,42.88,Mirella Martins,29535709,Bradesco,Danilo Lopes,60064650,Itau,cpf,87014935232,2022-09-21T17:19:00.000-03:00
11,33629.97,Sr. Vitor Gabriel da Costa,67010663,BTG,Sra. Lavinia Caldeira,48145941,Nubank,cpf,63542098124,2022-09-12T00:29:00.000-03:00
12,4374.56,Nathan Peixoto,22975623,Nubank,Diogo da Luz,30302218,Bradesco,cpf,72908154323,2022-08-07T17:01:00.000-03:00
15,815.53,Ana Laura Souza,79650252,Itau,Isabel Costa,28762988,BTG,cpf,51824039689,2022-02-21T11:25:00.000-03:00
17,0.54,Otavio Cunha,85583961,Bradesco,Elisa Moreira,97003354,Bradesco,cpf,15248769094,2022-02-16T10:16:00.000-03:00
18,49836.72,Ana Carolina Oliveira,80200942,Itau,Stella Fernandes,31579145,BTG,cpf,47609381250,2022-07-18T22:46:00.000-03:00
19,9.68,Levi Martins,12349481,Itau,Joao Guilherme Mendes,31102492,BTG,celular,11916824404,2022-02-26T15:05:00.000-03:00
22,22.43,Fernanda Melo,3317895,Nubank,Luiz Otavio Ribeiro,97680466,BTG,celular,84972507365,2022-08-04T00:48:00.000-03:00
25,28.66,Leandro Freitas,91133554,Itau,Valentina Pereira,6414456,BTG,celular,71979984146,2022-08-24T15:39:00.000-03:00
26,154.98,Luiza Pires,69839296,Bradesco,Pietra Melo,42851788,Itau,celular,71908616462,2022-01-28T16:51:00.000-03:00
29,890.47,Sr. Luiz Felipe Santos,20051189,Bradesco,Enzo Gabriel Cardoso,17302910,Nubank,celular,31920761665,2022-11-19T19:25:00.000-03:00
31,20875.64,Dr. Joao Gabriel Lopes,51847615,BTG,Ana Caldeira,69556895,Bradesco,celular,84993893778,2022-04-29T10:17:00.000-03:00
33,1.58,Dra. Ana Vitoria Duarte,7482168,BTG,Alexia Farias,53857589,BTG,celular,81992580873,2022-07-03T23:37:00.000-03:00
